PRIORITY,OCR_STATUS,territory_id,District,territory_name,Type,STATUS,Agents,Cycle,Start (actual Start date),End (actual end date),Actual Man-Day,Days planned,Number_of_landmark,Number_of_trending,Number_of_regional,Number_of_iconic,Number_of_brands,total_logs,total_survey_logs,survey_log_new,survey_log_update_exist,survey_log_deleted,total_poi_portal,poi_portal_log_new,poi_portal_log_update_exist,poi_portal_log_deleted,total_trx,trx_draft,trx_ready_to_publish,trx_archived,trx_in_progress,Diffrencess,Area Score,high dansity ?
1,,4604,Al Aqeeq,RUH_Riyadh park mall,Mixed.,Off-Plan,aalosaimi,25-Jan,"December 23, 24","May 5, 25",2.64,1.69,2,0,0,0,116,626,106,15,91,0,520,9,490,21,416,164,192,60,0,15,20.97,YES
1,,4345,King Fahd,King Fahd district_10000002,Mixed.,Off-Plan,aalbwardi,25-Dec,"December 26, 24","February 19, 25",2.11,1.4,0,0,0,0,112,442,22,2,14,6,420,16,396,8,364,173,135,56,0,2,19.96,YES
1,,4346,King Fahd,city Riyadh Dhahrat Laban district_946,Indust.,Closed,abinsaedan,25-Feb,"December 22, 24","February 27, 25",4.39,2,0,0,0,0,107,782,229,194,28,7,553,19,506,28,475,125,296,54,0,194,19.21,YES
1,,4600,Qurtubah,RUH_Park Avenue mall,Indust.,Off-Plan,,,"Jan 17, 25","Feb 26, 25",0.79,0.53,1,1,0,0,57,313,5,0,4,1,308,24,274,10,152,39,94,19,0,-107,10.43,0
1,,4593,Al Olaya,RUH_Kingdom Center,Com,Off-Plan,fabdelrahman,25-Apr,"December 27, 24","April 20, 25",1.79,1.2,2,0,0,0,55,292,12,0,9,3,280,13,248,19,308,175,78,55,0,0,10.02,0
1,,5655,Al Nafel,RUH_Tala mall,Com,Closed,abinsaedan,,"December 18, 24","January 27, 25",0.93,0.48,0,0,0,0,53,398,75,30,39,6,323,7,306,10,127,20,82,25,0,30,9.62,YES
1,,4571,Al Olaya,RUH_Al Faisaliya MODE mall,Com,Off-Plan,fabdelrahman,25-Apr,"April 17, 25","April 17, 25",0.56,0.38,1,0,0,0,34,201,7,0,7,0,194,15,173,6,97,24,59,14,0,0,6.32,0
1,,3174,Al Olaya,Al Olaya district_10000294,Mixed.,Off-Plan,fabdelrahman,25-Apr,"December 26, 24","April 17, 25",4.28,2.09,0,0,0,0,35,1017,592,161,213,218,425,30,374,21,672,26,350,296,0,161,6.3,YES
1,,4177,Hiteen,Boulevard Riyadh City,Mixed.,Off-Plan,,25-Jan,"January 7, 25","January 7, 25",1.74,1.16,3,0,0,0,31,246,14,0,12,2,232,7,189,36,316,177,72,67,0,0,5.59,0
1,,5635,Ar Rabie,RUH_Aliya Plaza mall,Com,Closed,aalosaimi,25-Dec,"December 8, 24","February 28, 25",0.73,0.37,0,0,0,0,28,261,48,24,19,5,213,0,210,3,89,33,43,13,0,24,5.12,YES
1,,3879,Al Yasmeen,Al Yasmeen district_10000436,Mixed.,Closed,,25-Dec,"November5, 24","January 6, 25",1.09,0.54,0,1,0,0,26,398,96,38,39,19,302,2,295,5,142,27,88,27,0,38,4.73,YES
1,,4283,Hiteen,city Riyadh Hiteen district_1536,Mixed.,Closed,surveyor4,25-Jan,"December 31, 24","May 6, 25",1.06,0.69,1,7,0,0,23,264,31,4,24,3,233,4,214,15,194,82,58,54,0,4,4.71,YES
1,,3131,Al Olaya,Al Olaya district_10000272,Com,Closed,aalngedan,,"December 24, 24","May 15, 25",1.9,1.27,0,9,0,0,20,338,42,0,41,1,296,34,231,31,314,170,88,56,0,0,4.43,YES
1,,4348,King Fahd,King Fahd district_10000004,Mixed.,Closed,abinsaedan,25-Feb,"January 10, 25","February 26, 25",0.64,0.41,1,0,0,0,24,117,9,4,5,0,108,3,98,7,97,53,31,13,0,4,4.19,0
1,,5103,Ar Rabie,Ar Rabie district_10000305,Mixed.,Off-Plan,ashuban,25-Mar,"December 2, 24","May 3, 25",1.97,0.97,0,1,0,0,22,929,425,72,254,99,504,1,502,1,297,14,161,122,0,72,4.06,YES
1,,3484,Al Sulaimaniyah,Al Sulaimaniyah district_10000333,Com,Closed,surveyor10,25-Feb,"February 2, 25","February 3, 25",0.59,0.35,0,0,0,0,22,182,17,9,8,0,165,2,151,12,92,25,46,21,0,9,4.04,0
1,,6695,Al Narjis,Al Narjas district_101,Resid.,Closed,surveyor1,25-Jan,"December 17, 24","January 9, 25",0.36,0.22,0,0,0,0,22,197,35,3,25,7,162,3,151,8,67,1,47,19,0,3,3.91,0
1,,4542,Al Malqa,RUH_06,Com,Off-Plan,fabdelrahman,25-Apr,"December 30, 24","April 7, 25",1.7,0.8,0,0,0,0,21,521,220,70,106,44,301,64,221,16,262,9,186,67,0,70,3.91,YES
1,,4575,Al Malqa,RUH_Almakan mall,Com,Closed,aalsahafi,,,,0.33,0.22,0,0,0,0,21,107,0,0,0,0,107,2,88,17,62,21,23,18,0,0,3.86,YES
1,,2650,Al Malqa,Al Malqa district_10000008,Com,Off-Plan,ashuban,25-Apr,"January 2, 25","April 3, 25",1.33,0.5,0,1,0,0,20,398,181,81,60,40,217,20,186,11,208,8,141,59,0,81,3.83,YES
1,,3058,Al Olaya,Al Olaya district_10000238,Mixed.,Closed,aalngedan,,,,1.21,0.81,0,0,0,0,22,199,0,0,0,0,199,5,176,18,204,115,53,36,0,0,3.76,YES
1,,4536,Qurtubah,Qurtubah district_350,Resid.,Closed,surveyor13,25-Mar,"March 9, 25","March 10, 25",0.39,0.22,0,0,0,0,21,146,13,8,2,3,133,2,124,7,68,14,36,18,0,8,3.73,0
1,,4440,Qurtubah,Qurtubah district_295,Resid.,Closed,surveyor3,25-Mar,"January 29, 25","March 11, 25",0.72,0.33,0,0,0,0,21,278,117,31,46,40,161,1,157,3,148,2,80,66,0,31,3.73,YES
1,,3274,Al Rawdah,Al Rawdah district_74,Resid.,Off-Plan,ashuban,25-Jun,"Jun 3, 25","Jun 3, 25",0.44,0.3,0,0,0,0,21,136,22,19,0,3,114,4,106,4,74,32,31,11,0,0,3.71,0
1,,6757,Al Narjis,Al Narjas district_37,Mixed.,Closed,aalbwardi,25-Dec,"December 17, 24","December 22, 24",0.64,0.32,0,0,0,0,20,269,64,21,33,10,205,0,203,2,90,8,60,22,0,21,3.55,YES
1,,4086,Al Nakheel,Al-Nakheel_10000100,Resid.,Closed,salsiqami,25-Jan,"January 7, 25","January 21, 25",0.39,0.23,0,0,0,0,20,160,29,7,15,7,131,0,127,4,75,12,36,27,0,7,3.55,0
1,,3148,Al Olaya,Al Olaya district_10000280,Com,Closed,aalngedan,,"January 6, 25","May 8, 25",1.22,0.81,0,5,0,0,17,161,4,0,4,0,157,2,143,12,205,125,39,41,0,0,3.49,YES
1,,3105,Al Olaya,Al Olaya district_10000259,Com,Closed,,,"December 26, 24","May 11, 25",3.19,2.13,2,7,0,0,15,272,14,0,14,0,258,4,216,38,514,356,65,93,0,0,3.47,YES
1,,5129,Ar Rahmaniyah,Ar Rahmaniyah district_10000194,Mixed.,Closed,,25-Dec,"December 30, 24","May 11, 25",0.61,0.37,1,0,0,0,19,229,43,8,34,1,186,0,178,8,97,30,46,21,0,8,3.44,0
1,,4929,Al Nuzha,Al Nuzha district_1,Mixed.,Off-Plan,ashuban,25-Apr,"April 20, 25","April 21, 25",0.94,0.43,0,0,0,0,19,244,119,41,45,33,125,3,114,8,164,8,91,65,0,41,3.42,YES
1,,3711,Al Yasmeen,Al Yasmeen district_10000137,Mixed.,Off-Plan,ashuban,25-Mar,"October 13, 24","March 19, 25",1.67,0.61,0,0,0,0,19,626,260,106,99,55,366,1,350,15,176,7,107,62,0,106,3.42,YES
1,,3056,Al Olaya,Al Olaya district_10000237,Com,Closed,aalngedan,,,,1.78,1.19,0,1,0,0,18,167,0,0,0,0,167,11,143,13,289,201,47,41,0,0,3.27,YES
1,,3524,Al Sulaimaniyah,Al Sulaimaniyah district_10000352,Resid.,Closed,surveyor11,25-Feb,"February 2, 25","February 4, 25",1.67,0.94,0,0,0,0,18,232,83,37,44,2,149,1,136,12,252,80,109,63,0,37,3.19,YES
1,,4602,Al Murabba,RUH_Riyadh Avenue Mall,Mixed.,Off-Plan,ashuban,25-May,"Jan 7, 25","May 29, 25",0.69,0.46,0,0,0,0,18,152,84,55,29,0,68,4,63,1,114,74,25,15,0,-93,3.09,0
1,,3313,Al Sahafah,Al Sahafah district_10000236,Mixed.,Closed,surveyor5,"  v-24","November13, 24","November18, 24",0.81,0.39,0,4,0,0,15,298,89,31,42,16,209,1,206,2,99,8,75,16,0,31,3.05,YES
1,,3040,Al Olaya,Al Olaya district_10000231,Mixed.,Closed,aalngedan,,"May 11, 25","May 11, 25",1.67,1.11,0,0,0,0,18,125,1,0,1,0,124,7,112,5,273,186,46,41,0,0,3.04,YES
1,,3368,Al Sahafah,Al Sahafah district_10000263,Indust.,Closed,abinsaedan,"  v-24","November25, 24","May 4, 25",1.81,0.6,0,0,0,0,17,281,160,129,25,6,121,3,113,5,157,5,136,16,0,129,3.01,YES
1,,3419,Al Sulaimaniyah,Al Sulaimaniyah district_10000301,Com,Closed,abinsaedan,25-Feb,"February 2, 25","May 4, 25",1.01,0.6,0,0,0,0,16,284,156,15,60,81,128,1,117,10,257,28,93,136,0,15,2.96,YES
1,,5237,Al Raed,city Riyadh Al Raed district_1343,Mixed.,Off-Plan,fabdelrahman,25-Apr,"January 29, 25","April 22, 25",0.46,0.28,0,0,0,0,16,168,39,6,33,0,129,0,117,12,79,17,37,25,0,6,2.88,YES
1,,3108,Al Olaya,Al Olaya district_10000260,Com,Closed,aalngedan,,,,1.22,0.81,0,0,0,0,16,115,0,0,0,0,115,0,108,7,204,135,31,38,0,0,2.81,YES
1,,2950,Al Muhammadiyah,Al Muhammadiyah district_10000071,Mixed.,Off-Plan,fabdelrahman,25-Apr,"October 31, 24","May 6, 25",1.5,0.74,0,2,0,0,14,301,180,55,114,11,121,0,112,9,250,77,128,45,0,54,2.72,YES
1,,4573,Al Rawdah,RUH_Al Khayma mall,Mixed.,Off-Plan,ashuban,25-Jun,"Jun 3, 25","Jun 3, 25",0.21,0.14,0,0,0,0,15,80,29,21,0,8,51,4,46,1,38,16,17,5,0,-29,2.7,0
1,,4099,Al Nakheel,Al-Nakheel_10000107,Resid.,Closed,surveyor10,25-Jan,"January 21, 25","January 21, 25",0.56,0.31,1,3,0,0,13,132,22,13,5,4,110,0,103,7,90,24,41,25,0,13,2.66,0
1,,5089,Ar Rabie,Ar Rabie district_10000291,Resid.,Closed,,25-Dec,"December 4, 24","December 5, 24",0.34,0.18,0,0,0,0,15,203,43,10,25,8,160,0,159,1,54,2,35,17,0,10,2.65,YES
1,,4546,Al Woroud,RUH_10&12&23_Olaya View Mall,Com,Off-Plan,fabdelrahman,25-May,"January 5, 25","May 28, 25",0.94,0.5,0,0,0,0,14,170,108,91,16,1,62,6,51,5,122,50,56,16,0,27,2.6,0
1,,3069,Al Olaya,Al Olaya district_10000244,Com,Closed,aalngedan,,"May 5, 25","May 5, 25",1.18,0.79,1,0,0,0,14,115,1,0,1,0,114,1,107,6,186,125,36,25,0,0,2.52,0
1,,2691,Al Malqa,Al Malqa district_10000033,Mixed.,Off-Plan,ashuban,25-Apr,"December 30, 24","April 7, 25",1.76,0.77,0,7,0,0,10,556,236,84,99,53,320,61,238,21,279,6,186,87,0,84,2.5,0
1,,4408,King Fahd,King Fahd district_10000104,Mixed.,Closed,salsiqami,25-Feb,"February 19, 25","February 24, 25",1.08,0.54,0,0,0,0,14,168,91,38,42,11,77,0,76,1,139,30,82,27,0,38,2.47,YES
1,,4530,Qurtubah,Qurtubah district_344,Resid.,Closed,surveyor13,25-Mar,"March 5, 25","March 9, 25",0.34,0.19,0,0,0,0,14,129,20,7,10,3,109,2,103,4,58,8,37,13,0,7,2.47,YES
1,,3377,Al Sahafah,Al Sahafah district_10000267,Resid.,Closed,,"  v-24","November19, 24","November20, 24",0.35,0.17,0,0,0,0,14,195,51,13,22,16,144,0,142,2,53,1,35,17,0,13,2.47,YES
1,,2948,Al Muhammadiyah,Al Muhammadiyah district_10000070,Resid.,Closed,surveyor2,25-Jan,"December 23, 24","December 23, 24",0.81,0.49,0,10,0,0,9,163,41,11,24,6,122,0,111,11,139,59,42,38,0,11,2.42,YES
1,,3285,Al Sahafah,Al Sahafah district_10000222,Mixed.,Off-Plan,surveyor13,25-Mar,"November19, 24","March 18, 25",0.86,0.38,0,0,0,0,13,352,155,41,85,29,197,1,194,2,113,1,81,31,0,41,2.34,YES
1,,4728,Al Ghadir,Al Ghadeer district_10000325,Resid.,Off-Plan,surveyor3,25-Mar,"January 15, 25","May 3, 25",0.37,0.22,0,0,0,0,13,150,65,5,38,22,85,2,81,2,68,3,31,34,0,5,2.34,0
1,,4540,King Fahd,RUH Marina Mall,Mixed.,Closed,aalbwardi,25-Dec,,,0.47,0.31,0,0,0,0,14,65,0,0,0,0,65,8,55,2,83,51,22,10,0,0,2.32,0
1,,3110,Al Olaya,Al Olaya district_10000261,Mixed.,Closed,aalngedan,,"January 2, 25","January 6, 25",0.99,0.66,0,0,0,0,14,89,3,0,3,0,86,1,76,9,164,100,31,33,0,0,2.32,YES
1,,4350,King Fahd,King Fahd district_10000005,Mixed.,Closed,fabdelrahman,25-Feb,"December 26, 24","February 19, 25",1.99,1.3,0,0,0,0,14,97,11,5,6,0,86,7,77,2,289,243,37,9,0,5,2.32,0
1,,4277,Hiteen,city Riyadh Hiteen district_1533,Resid.,Closed,aalosaimi,25-Mar,"March 9, 25","March 9, 25",0.49,0.27,0,0,0,0,13,109,36,11,24,1,73,0,68,5,82,26,38,18,0,11,2.29,YES
1,,4494,Qurtubah,Qurtubah district_324,Resid.,Closed,aalosaimi,25-Mar,"February 26, 25","March 2, 25",0.41,0.2,0,0,0,0,13,146,46,16,23,7,100,0,98,2,53,0,40,13,0,16,2.29,YES
1,,2600,Al Malaz,Al Malaz district_10000520,Mixed.,Closed,ashuban,25-Jan,"January 23, 25","January 23, 25",0.44,0.26,0,0,0,0,13,145,63,8,15,40,82,0,79,3,103,17,34,52,0,8,2.29,YES
1,,3002,Al Mutamarat,Al Mutamarat district_10000360,Indust.,Closed,surveyor1,25-Jan,"January 22, 25","January 22, 25",0.064,0.18,0,0,0,0,13,70,9,0,9,0,61,1,57,3,51,18,20,13,0,0,2.29,0
1,,6697,Al Narjis,Al Narjas district_103,Resid.,Closed,surveyor1,25-Jan,"December 17, 24","January 28, 25",0.59,0.27,0,0,0,0,13,159,47,26,17,4,112,0,111,1,67,14,43,10,0,26,2.29,0
1,,3018,Al Olaya,Al Olaya district_10000026,Com,Closed,aalngedan,,,,0.3,0.2,0,0,0,0,13,79,0,0,0,0,79,0,78,1,56,27,15,14,0,0,2.27,0
1,,4730,Al Ghadir,Al Ghadeer district_10000327,Resid.,Off-Plan,surveyor3,25-Mar,"November7, 24","March 23, 25",0.59,0.36,0,1,0,0,12,244,81,6,59,16,163,7,139,17,104,9,52,43,0,6,2.26,YES
1,,4808,Al Mursalat,Al Mursalat district_10000014,Mixed.,Open,,,,,0.13,0.09,0,0,0,0,12,93,0,0,0,0,93,0,91,2,28,5,13,10,0,-18,2.16,0
1,,5232,Al Raed,city Riyadh Al Raed district_1338,Mixed.,Off-Plan,fabdelrahman,25-Jan,"April 22, 25","April 22, 25",0.49,0.29,0,0,0,0,12,159,54,8,36,10,105,1,98,6,90,8,47,35,0,8,2.16,YES
1,,5111,Ar Rabie,Ar Rabie district_10000427,Mixed.,Closed,fabdelrahman,25-Dec,"December 8, 24","March 20, 25",1.31,0.67,0,4,0,0,10,519,194,42,133,19,325,6,307,12,205,46,112,47,0,42,2.15,YES
1,,4896,Al Nafel,Al Nafel district_10000341,Mixed.,Closed,,25-Dec,"December 11, 24","December 15, 24",0.74,0.37,0,0,0,0,12,291,99,26,34,39,192,0,190,2,119,13,65,41,0,26,2.11,YES
1,,2929,Al Muhammadiyah,Al Muhammadiyah district_10000063,Com,Off-Plan,fabdelrahman,25-Apr,"October 10, 24","April 24, 25",0.86,0.42,0,0,0,0,11,182,70,32,37,1,112,0,101,11,120,39,66,15,0,32,2.11,0
1,,3421,Al Sulaimaniyah,Al Sulaimaniyah district_10000302,Com,Closed,surveyor4,25-Feb,"February 5, 25","February 6, 25",0.49,0.26,0,0,0,0,11,175,109,14,23,72,66,1,54,11,151,1,50,100,0,14,2.06,YES
1,,2743,Al Malqa,Al Malqa district_10000058,Com,Off-Plan,surveyor3,25-Apr,"December 30, 24","April 3, 25",1.06,0.48,0,3,0,0,9,348,148,48,48,52,200,41,144,15,170,1,106,63,0,48,2.05,YES
1,,3020,Al Olaya,Al Olaya district_10000220,Mixed.,Closed,aalngedan,,,,1.21,0.81,1,0,0,0,12,90,0,0,0,0,90,18,68,4,209,141,34,34,0,0,2.03,0
1,,4008,Al Aqeeq,Al-Aqeek_10000135,Mixed.,Closed,aalosaimi,25-Jan,"January 5, 25","May 11, 25",1.02,0.68,4,3,0,0,9,141,18,0,16,2,123,1,112,10,174,107,36,31,0,0,2,0
1,,4727,Al Ghadir,Al Ghadeer district_10000324,Resid.,Closed,ashuban,25-Mar,"February 4, 25","March 20, 25",0.74,0.34,0,6,0,0,8,218,73,32,40,1,145,7,132,6,96,15,72,9,0,32,1.99,0
1,,5660,Salahuddin,Salahuddin district_10000136,Mixed.,Off-Plan,ashuban,25-Mar,"March 26, 25","March 26, 25",0.77,0.41,0,0,0,0,11,194,100,22,42,36,94,1,88,5,140,8,66,66,0,22,1.98,YES
1,,5130,Ar Rahmaniyah,Ar Rahmaniyah district_10000195,Mixed.,Off-Plan,fabdelrahman,25-Apr,"October 13, 24","May 14, 25",0.55,0.32,0,0,0,0,11,169,58,9,47,2,111,1,105,5,86,23,45,18,0,9,1.98,0
1,,2581,Al Malaz,Al Malaz district_10000509,Mixed.,Closed,fabdelrahman,25-Jan,"January 28, 25","January 28, 25",0.57,0.33,0,0,0,0,12,104,16,10,4,2,88,0,85,3,90,39,30,21,0,10,1.96,YES
1,,4387,King Fahd,King Fahd district_10000094,Mixed.,Closed,surveyor13,25-Feb,"February 19, 25","February 19, 25",0.39,0.26,0,0,0,0,12,65,7,0,2,5,58,0,55,3,67,39,15,13,0,0,1.96,YES
1,,4889,Al Nafel,Al Nafel district_10000334,Resid.,Closed,fabdelrahman,"  v-24","December 11, 24","March 20, 25",0.25,0.13,0,0,0,0,11,141,41,7,28,6,100,1,98,1,43,10,22,11,0,7,1.93,YES
1,,4497,Qurtubah,Qurtubah district_326,Resid.,Closed,fabdelrahman,25-Feb,"February 26, 25","February 27, 25",0.66,0.35,0,0,0,0,11,194,82,19,27,36,112,0,105,7,131,3,69,59,0,19,1.93,YES
1,,5037,Al Taawun,Al Taawon district_53,Resid.,Closed,surveyor3,25-Mar,"March 4, 25","March 6, 25",0.62,0.34,0,0,0,0,11,231,145,15,51,79,86,3,75,8,179,2,74,103,0,15,1.93,YES
1,,4487,Qurtubah,Qurtubah district_320,Resid.,Closed,surveyor4,25-Feb,"January 11, 25","February 26, 25",0.38,0.19,0,0,0,0,11,138,31,14,3,14,107,0,100,7,61,1,34,26,0,14,1.93,0
1,,3874,Al Yasmeen,Al Yasmeen district_10000220,Mixed.,Off-Plan,ashuban,25-Mar,"October 14, 24","March 19, 25",1.13,0.44,0,1,0,0,10,430,195,65,52,78,235,0,230,5,152,4,80,68,0,65,1.9,0
1,,4582,King Saud University,RUH_Esplanade mall,Mixed.,Closed,surveyor13,25-Feb,"December 26, 24","February 17, 25",0.32,0.18,2,7,0,0,6,146,31,8,13,10,115,0,106,9,60,9,25,26,0,8,1.87,0
1,,2604,Al Malaz,Al Malaz district_10000522,Com,Closed,Auditedor1,25-Jan,"January 26, 25","January 27, 25",1.84,1.11,0,1,0,0,10,144,54,24,27,3,90,1,80,9,265,168,63,34,0,24,1.83,YES
1,,3975,Al Aqeeq,Al-Aqeek_10000051,Mixed.,Closed,surveyor11,25-Jan,"January 14, 25","January 15, 25",0.51,0.3,0,6,0,0,7,195,43,8,29,6,152,1,144,7,81,21,40,20,0,8,1.81,0
1,,4938,Al Nuzha,Al Nuzha district_82,Resid.,Off-Plan,ashuban,25-Apr,"April 21, 25","April 22, 25",1.34,0.62,0,0,0,0,10,250,150,56,63,31,100,1,95,4,204,29,124,51,0,56,1.8,YES
1,,3099,Al Olaya,Al Olaya district_10000257,Mixed.,Off-Plan,ashuban,25-Apr,"December 24, 24","April 21, 25",4.01,1.47,0,0,0,0,10,911,455,252,158,45,456,19,414,23,622,132,368,122,0,252,1.8,YES
1,,3970,Al Aqeeq,Al-Aqeek_10000048,Mixed.,Closed,surveyor11,25-Jan,"January 13, 25","January 14, 25",0.54,0.3,0,4,0,0,8,134,39,12,23,4,95,0,86,9,92,24,37,31,0,12,1.79,0
1,,3622,Al Woroud,Al Woroud district_10000165,Resid.,Off-Plan,fabdelrahman,25-May,"January 2, 25","May 31, 25",0.83,0.53,0,0,0,0,11,124,30,6,23,1,94,2,80,12,132,68,39,25,0,5,1.78,YES
1,,3145,Al Olaya,Al Olaya district_10000279,Com,Closed,,,"December 25, 24","May 5, 25",1.85,1.23,0,4,0,0,8,241,38,0,34,4,203,3,183,17,308,192,62,54,0,0,1.77,YES
1,,2907,Al Muhammadiyah,Al Muhammadiyah district_10000052,Mixed.,Closed,surveyor1,25-Jan,"January 2, 25","January 19, 25",0.39,0.24,0,9,0,0,5,106,21,4,13,4,85,2,74,9,73,23,26,24,0,4,1.75,YES
1,,4887,Al Nafel,Al Nafel district_10000332,Mixed.,Closed,abinsaedan,25-Dec,"December 11, 24","December 15, 24",0.38,0.21,0,0,0,0,10,199,54,9,27,18,145,1,140,4,72,6,35,31,0,9,1.75,YES
1,,4944,Al Nuzha,Al Nuzha district_88,Resid.,Closed,ashuban,25-Mar,"March 4, 25","March 6, 25",0.96,0.48,0,0,0,0,10,152,82,34,35,13,70,1,65,4,147,28,76,43,0,34,1.75,YES
1,,4395,King Fahd,King Fahd district_10000098,Mixed.,Closed,ashuban,25-Feb,"February 20, 25","March 2, 25",0.69,0.4,0,0,0,0,10,193,95,13,62,20,98,0,88,10,119,21,58,40,0,13,1.75,YES
1,,6702,Al Narjis,Al Narjas district_128,Resid.,Closed,surveyor1,25-Jan,"January 8, 25","January 9, 25",0.16,0.1,0,0,0,0,10,85,19,0,16,3,66,3,54,9,35,2,20,13,0,0,1.75,0
1,,4087,Al Nakheel,Al-Nakheel_10000101,Resid.,Closed,surveyor3,25-Jan,"January 21, 25","January 22, 25",0.24,0.16,0,0,0,0,10,72,18,0,18,0,54,1,51,2,52,9,25,18,0,0,1.75,YES
1,,3634,Al Woroud,Al Woroud district_10000172,Com,Off-Plan,ashuban,25-Apr,"January 2, 25","April 16, 25",1.79,0.81,0,0,0,0,9,355,260,80,129,51,95,2,84,9,257,29,142,86,0,80,1.75,YES
1,,4577,Al Woroud,RUH_Andalus mall,Com,Off-Plan,fabdelrahman,25-May,"January 5, 25","May 29, 25",0.81,0.46,0,0,0,0,10,239,204,184,16,4,35,3,29,3,114,65,34,15,0,16,1.73,0
1,,4043,Al Nakheel,Al-Nakheel_10000078,Resid.,Closed,ashuban,25-Jan,"January 6, 25","February 19, 25",0.33,0.17,0,3,0,0,8,137,74,10,20,44,63,1,57,5,100,3,31,66,0,10,1.69,YES
1,,5026,Al Taawun,Al Taawon district_42,Mixed.,Open,,,,,1.09,0.57,0,4,0,0,7,152,53,32,20,1,99,0,90,9,162,57,66,39,0,-68,1.66,YES
1,,4700,Al Falah,Al Falah district_23,Resid.,Off-Plan,aalosaimi,25-Jun,"May 29, 25","Jun 1, 25",0.57,0.38,0,0,0,0,10,98,41,11,30,0,57,2,48,7,107,64,16,27,0,-80,1.65,YES
1,,2962,Al Murabba,Al Murabba district_10000406,Mixed.,Off-Plan,ashuban,25-May,"May 31, 25","May 31, 25",0.65,0.43,0,0,0,0,10,93,21,6,15,0,72,0,59,13,120,67,19,34,0,-91,1.65,0
1,,4444,Qurtubah,Qurtubah district_297,Resid.,Closed,surveyor13,25-Mar,"March 2, 25","March 9, 25",0.38,0.2,1,0,0,0,9,92,19,11,4,4,73,0,66,7,62,14,27,21,0,11,1.64,0
1,,3773,Al Yasmeen,Al Yasmeen district_10000168,Mixed.,Off-Plan,surveyor13,25-Mar,"October 13, 24","March 17, 25",0.76,0.35,0,2,0,0,8,279,91,34,32,25,188,2,180,6,100,10,63,27,0,34,1.64,YES
1,,3425,Al Sulaimaniyah,Al Sulaimaniyah district_10000304,Resid.,Off-Plan,surveyor3,25-Mar,"February 4, 25","March 26, 25",0.66,0.35,0,0,0,0,9,154,98,19,45,34,56,2,54,0,95,2,47,46,0,19,1.62,0
1,,4265,Hiteen,city Riyadh Hiteen district_1527,Mixed.,Closed,salsiqami,25-Jan,"January 2, 25","January 14, 25",0.91,0.5,0,0,0,0,9,260,78,24,47,7,182,1,171,10,140,27,76,37,0,24,1.57,YES
1,,6775,Al Narjis,Al Narjas district_55,Resid.,Closed,surveyor2,25-Jan,"December 24, 24","January 15, 25",0.66,0.35,0,0,0,0,9,244,35,20,5,10,209,20,171,18,98,6,63,29,0,20,1.57,YES
1,,5513,Ghirnatah,Ghornata district_158,Resid.,Closed,surveyor3,25-Feb,"February 5, 25","February 9, 25",0.74,0.33,0,0,0,0,9,164,88,34,22,32,76,0,74,2,110,2,66,42,0,34,1.57,YES
1,,3655,Al Yasmeen,Al Yasmeen district_10000109,Resid.,Closed,surveyor7,24-Feb,"October 12, 24","January 5, 25",1.11,0.49,0,0,0,0,9,356,103,53,25,25,253,4,243,6,135,11,91,33,0,53,1.57,YES
1,,5654,Ar Rahmaniyah,RUH_Royal mall,Mixed.,Off-Plan,fabdelrahman,25-Apr,"April 28, 25","April 28, 25",0.76,0.45,1,0,0,0,9,52,19,11,8,0,33,0,33,0,112,79,27,6,0,11,1.54,0
1,,4936,Al Nuzha,Al Nuzha district_80,Resid.,Off-Plan,ashuban,25-Apr,"April 21, 25","April 21, 25",0.85,0.44,0,1,0,0,8,201,109,26,41,42,92,4,84,4,141,9,69,63,0,26,1.54,YES
1,,4294,King Saud University,city Riyadh King Saud University district_1349,Mixed.,Closed,ashuban,25-Feb,"January 18, 25","January 18, 25",2.12,1.41,4,0,0,0,8,91,3,0,3,0,88,1,81,6,328,263,32,33,0,0,1.52,0
1,,3620,Al Woroud,Al Woroud district_10000164,Com,Off-Plan,fabdelrahman,25-May,"January 2, 25","May 27, 25",0.79,0.4,0,0,0,0,8,128,52,28,21,3,76,0,73,3,97,28,54,15,0,26,1.52,YES
1,,3796,Al Yasmeen,Al Yasmeen district_10000181,Com,Closed,surveyor7,25-Dec,"October 24, 24","January 6, 25",1.44,0.65,0,7,0,0,4,397,77,65,11,1,320,9,296,15,147,33,99,15,0,65,1.5,YES
1,,3203,Al Rawdah,Al Rawdah district_38,Mixed.,In progress,ashuban,25-Jun,"Jun 11, 25",,0.59,0.39,0,0,0,0,9,56,0,0,0,0,56,2,40,14,94,55,16,23,0,-82,1.47,YES
1,,4354,King Fahd,King Fahd district_10000074,Mixed.,Closed,aalbwardi,25-Dec,"December 26, 24","January 6, 25",2.06,1.36,3,0,0,0,8,81,11,3,8,0,70,4,54,12,318,262,25,31,0,3,1.45,YES
1,,2974,Al Murabba,Al Murabba district_10000413,Mixed.,Off-Plan,fabdelrahman,25-Apr,"April 10, 25","April 10, 25",0.42,0.26,0,0,0,0,8,95,47,4,15,28,48,2,40,6,76,10,21,45,0,4,1.44,0
1,,3463,Al Sulaimaniyah,Al Sulaimaniyah district_10000323,Resid.,Off-Plan,fabdelrahman,25-Apr,"January 23, 25","April 13, 25",0.65,0.35,0,0,0,0,8,232,139,17,100,22,93,3,85,5,98,2,54,42,0,17,1.44,YES
