PRIORITY,OCR_STATUS,territory_id,District,territory_name,Type,STATUS,Agents,Cycle,Start (actual Start date),End (actual end date),Actual Man-Day,Days planned,Number_of_landmark,Number_of_trending,Number_of_regional,Number_of_iconic,Number_of_brands,total_logs,total_survey_logs,survey_log_new,survey_log_update_exist,survey_log_deleted,total_poi_portal,poi_portal_log_new,poi_portal_log_update_exist,poi_portal_log_deleted,total_trx,trx_draft,trx_ready_to_publish,trx_archived,trx_in_progress,Diffrencess,Area Score,high dansity ?
2,,4845,Al Muruj,Al Muruj district_10000401,Mixed.,Off-Plan,fabdelrahman,,"January 7, 25","April 20, 25",0.93,0.41,0,0,0,0,7,247,161,44,83,34,86,2,79,5,147,5,89,53,0,44,1.26,YES
2,,4847,Al Muruj,Al Muruj district_10000403,Resid.,Off-Plan,fabdelrahman,25-Apr,"January 6, 25","April 22, 25",1.77,0.94,0,0,0,0,7,317,202,51,78,73,115,0,110,5,273,51,123,99,0,51,1.26,YES
2,,8890,Dhahrat Laban,city Riyadh Dhahrat Laban district_904,Mixed.,Off-Plan,,,"May 10, 25","May 11, 25",0.46,0.3,0,0,0,0,7,105,54,23,31,0,51,2,49,0,105,31,58,16,0,23,1.26,0
2,,4758,Al Hamra,Al Hamra district_348,Resid.,Closed,surveyor13,25-Mar,"March 10, 25","March 10, 25",0.33,0.18,0,0,0,0,7,69,25,8,8,9,44,2,39,3,59,12,29,18,0,8,1.21,0
2,,5649,Al Wahah,RUH_Masud Al Harthi_03 Comm,Com,Open,,,,,0.35,0.23,0,1,0,0,6,45,1,0,1,0,44,2,36,6,61,38,12,11,0,-48,1.16,YES
2,,2886,Al Mathar,Al Mathar district_10000379,Indust.,Open,,,,,0.12,0.08,1,0,0,0,6,43,0,0,0,0,43,1,40,2,22,3,14,5,0,-17,1.15,0
2,,4754,Al Hamra,Al Hamra district_134,Resid.,Closed,fabdelrahman,25-Mar,"March 11, 25","March 13, 25",0.38,0.17,0,1,0,0,6,81,50,17,24,9,31,1,27,3,62,1,41,20,0,17,1.13,0
2,,5637,Al Wahah,RUH_An Nuzhah 2,Com,Off-Plan,abinsaedan,25-Apr,"April 20, 25","April 20, 25",0.81,0.43,0,1,0,0,5,159,95,24,26,45,64,1,60,3,133,21,52,60,0,24,1.13,YES
2,,5057,Al Wadi,Al Wadi district_6,Resid.,Off-Plan,fabdelrahman,25-May,"May 19, 25","May 20, 25",0.53,0.35,0,1,0,0,7,148,71,47,24,0,77,0,67,10,99,57,14,28,0,-74,1.11,YES
2,,5688,New Industrial City,2nd Industrial City district_129,Mixed.,Open,,,,,0.38,0.25,0,0,0,0,7,118,59,0,0,59,59,51,7,1,57,35,14,8,0,-53,1.11,0
2,,4646,Al Andalus,Al Andalus district_107,Resid.,Open,,,,,0.23,0.15,0,0,0,0,7,29,0,0,0,0,29,1,25,3,38,22,9,7,0,-32,1.11,0
2,,4767,Al Masyaf,Al Maseef district_10000367,Resid.,Open,,,,,0.17,0.11,0,0,0,0,7,30,0,0,0,0,30,0,29,1,31,14,10,7,0,-24,1.11,0
2,,4781,Al Masyaf,Al Maseef district_10000381,Mixed.,Open,,,,,0.79,0.52,0,0,0,0,7,71,1,0,1,0,70,0,66,4,136,83,24,29,0,-109,1.11,YES
2,,4849,Al Muruj,Al Muruj district_10000405,Resid.,Open,,,,,0.46,0.31,0,0,0,0,7,42,0,0,0,0,42,0,40,2,78,53,10,15,0,-65,1.11,YES
2,,4946,Al Quds,Al Quds district_75,Resid.,Open,,,,,0.31,0.2,0,0,0,0,7,35,0,0,0,0,35,2,29,4,49,30,11,8,0,-43,1.11,0
2,,4970,Ar Rabwah,Al Rabwah district_10,Resid.,Open,,,,,0.36,0.24,0,0,0,0,7,58,0,0,0,0,58,1,53,4,61,36,12,13,0,-50,1.11,0
2,,4986,Ar Rabwah,Al Rabwah district_22,Resid.,Open,,,,,0.19,0.12,0,0,0,0,7,43,0,0,0,0,43,1,40,2,32,15,10,7,0,-26,1.11,0
2,,5008,Ar Rabwah,Al Rabwah district_45,Mixed.,Open,,,,,0.39,0.26,0,0,0,0,7,80,0,0,0,0,80,0,73,7,63,34,15,14,0,-54,1.11,0
2,,5009,Ar Rabwah,Al Rabwah district_5,Mixed.,Open,,,,,0.98,0.65,0,0,0,0,7,92,0,0,0,0,92,1,84,7,163,100,31,32,0,-137,1.11,YES
